time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,,
2192,710,204.326687,64,649.3490896,63.60617744,36.29748883,156.2966647,,,,
2193,695,256.5995443,64,673.2537993,61.84291295,36.08106726,148.7480909,,,,
2194,707,285.3577353,64,577.6117641,63.99856131,37.36203604,143.0321774,,,,
2195,637,292.662278,64,522.3909134,63.51214812,36.85903184,139.7607354,,,,
2196,709,232.1857111,64,586.8973706,60.67091483,35.71288002,147.4625317,,,,
2197,739,368.2227828,64,622.2759433,64.75873664,36.20557577,137.2177049,,,,
2198,737,338.8037813,64,619.5353175,65.051272,36.86695132,141.7665223,,,,
2199,679,363.5787362,64,615.4390156,62.7100611,36.96559777,145.1424553,,,,
2200,686,268.6652798,64,577.8335848,62.84067028,36.49181774,143.5919925,,,,
2201,678,223.2045651,72,629.3515907,62.31177308,38.17470814,129.1134554,,,,
2202,677,284.5075785,72,646.8101597,61.77072832,36.72048534,128.8353416,,,,
2203,704,249.8914452,72,674.8034037,62.17976311,37.09380103,129.2571668,,,,
2204,727,291.3334824,72,598.8099203,64.49593013,37.99469092,125.1566257,,,,
2205,704,294.367279,72,571.6930112,62.94481067,37.54096837,126.2529853,,,,
2206,708,263.5393532,72,557.4591884,62.79098477,37.62076634,125.7905087,,,,
2207,671,352.5670521,72,632.3633779,61.63965765,37.1907078,126.4491652,,,,
2208,684,297.8202387,72,614.6206078,63.41842846,37.6890671,126.7011369,,,,
2209,746,302.2160024,72,521.5143701,67.75883358,36.78860417,124.6695042,,,,
2210,709,366.6042231,72,557.3619423,63.97820461,37.0609289,121.6154213,,,,
2211,682,324.6196175,64,723.7169954,61.33257163,35.87551729,148.1436615,,,,
2212,684,342.6358716,64,598.9404181,64.97641076,36.38054759,147.5445068,,,,
2213,696,247.9208025,64,637.7350462,62.87364155,36.54900425,140.4956951,,,,
2214,699,360.19111,64,594.6532039,62.95008573,35.9937899,143.8134726,,,,
2215,688,241.8251834,64,549.5390887,63.99658037,37.09286734,141.8444248,,,,
2216,672,317.3106289,64,575.0891738,61.37607076,36.26657314,143.9104122,,,,
2217,694,233.1026113,64,632.0690859,62.60924724,35.71318007,140.114922,,,,
